,price,mileage,energy_consumption__co2_emissions,general_information__warranty,vehicle_age,model_encoded,model_rank_per_year,transmission_automatic,transmission_manual,energy_consumption__emission_class_Euro 5,energy_consumption__emission_class_Euro 6,energy_consumption__emission_class_Euro 6b,energy_consumption__emission_class_Euro 6c,energy_consumption__emission_class_Euro 6d,energy_consumption__emission_class_Euro 6d-TEMP,energy_consumption__emission_class_Euro 6d-TEMP-EVAP,energy_consumption__emission_class_Euro 6e,energy_consumption__fuel_diesel,energy_consumption__fuel_electric,energy_consumption__fuel_hybrid,energy_consumption__fuel_hybrid - diesel,energy_consumption__fuel_hybrid - petrol,energy_consumption__fuel_petrol,energy_consumption__fuel_petrol super,general_information__brand_audi,general_information__brand_bmw,general_information__brand_ford,general_information__brand_kia,general_information__brand_mercedes,general_information__brand_peugeot,general_information__brand_volkswagen,general_information__brand_volvo
29,18399.0,-1.0703844341466504,0.49374606320886005,0.0034603530597136587,0.61784496398022,-1.019670234671984,-0.7585105227152317,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
30,21990.0,0.07633171426044014,0.4538126638039197,0.0034603530597136587,-0.47839104269130883,-0.27719930121732594,-0.2131299050992156,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
31,21399.0,-0.4195124024678587,0.4338459641014495,0.0034603530597136587,-0.8438030449151518,-1.0284899929718103,-0.20918418149889875,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
34,23690.0,-0.764088507982601,0.21421226737427743,-1.0111500583649125,-0.47839104269130883,-1.0284899929718103,-0.4846442109590753,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
35,24000.0,-1.2562272123324698,0.4338459641014495,1.0180707644843399,-1.2092150471389949,-1.0440553699303114,0.6003200588242096,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
36,19650.0,-0.5151174909672048,0.034511970052045704,0.0034603530597136587,0.2524329617563771,-1.0284899929718103,-0.7050122345272164,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
37,16490.0,-0.11070987381251834,-0.24502182578253695,0.0034603530597136587,0.2524329617563771,-1.0440553699303114,-0.7083874041387007,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
38,28850.0,-0.876476934901895,-2.3015918951369665,-0.757497455508756,-0.8438030449151518,-1.019670234671984,-0.20440302838683874,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
40,17990.0,0.5214988675778572,0.034511970052045704,0.0034603530597136587,-0.11297904046746587,-1.0440553699303114,-0.6265931877035188,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
41,22995.0,-0.43193643220730066,0.034511970052045704,-1.0111500583649125,-0.47839104269130883,-1.0474175871258027,-0.4914845893169077,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
