,price_eur,mileage,transmission,energy_consumption__emission_class,energy_consumption__fuel,link,energy_consumption__co2_emissions,general_information__brand,general_information__model,general_information__warranty,vehicle_history__year,model_clean,energy_consumption__fuel_clean,model,brand_rank,emission_rank,fuel_rank,transmission_rank,model_rank,car_age,mileage_per_year,log_mileage,log_mileage_per_year,is_luxury,is_premium,is_modern,age_mileage_interaction,brand_model_interaction
27,35650,40569.0,automatic,Euro 6,petrol,https://gocar.be/en/cars/peugeot/2008/12-t-130-eat8-gt-gps-led/id/4901821,0,peugeot,2008,3,2024.0,2008,petrol,2008,4,5.0,7.0,8,1.0299607147828647,1.0,20284.5,10.610784156200493,9.917661624092009,0,0,0,20284.5,4.119842859131459
28,21490,47685.0,automatic,Euro 6,petrol,https://gocar.be/en/cars/peugeot/2008/allure360-cameraall-season-bandenkeyless/id/4901662,137,peugeot,2008,12,2024.0,2008,petrol,2008,4,5.0,7.0,8,1.0299607147828647,1.0,23842.5,10.772393132748352,10.079266922483985,0,0,0,23842.5,4.119842859131459
29,18399,11573.0,automatic,Euro 6d,petrol,https://gocar.be/en/cars/peugeot/2008/12-puretech-allure/id/4901758,140,peugeot,2008,12,2020.0,2008,petrol,2008,4,8.0,7.0,8,1.0299607147828647,5.0,1928.8333333333333,9.356516482133785,7.565188922384218,0,0,1,9644.166666666666,4.119842859131459
30,21990,53661.0,automatic,Euro 6d,petrol,https://gocar.be/en/cars/peugeot/408/allure-pack/id/4901509,138,peugeot,408,12,2023.0,408,petrol,408,4,8.0,7.0,8,1.0450900661991476,2.0,17887.0,10.890460394995813,9.791885375954825,0,0,1,35774.0,4.18036026479659
31,21399,35462.0,automatic,Euro 6,petrol,https://gocar.be/en/cars/peugeot/2008/12t-gt-automaat/id/4900776,137,peugeot,2008,12,2024.0,2008,petrol,2008,4,5.0,7.0,8,1.0299607147828647,1.0,17731.0,10.476245178418486,9.783126195864945,0,0,0,17731.0,4.119842859131459
35,24000,4752.0,automatic,Euro 6,petrol,https://gocar.be/en/cars/peugeot/2008/turbo-allure-eat8/id/4898387,137,peugeot,2008,24,2025.0,2008,petrol,2008,4,5.0,7.0,8,1.0299607147828647,0.0,4752.0,8.46653127661401,8.46653127661401,0,0,0,0.0,4.119842859131459
36,19650,31953.0,automatic,Euro 6d-TEMP,electric,https://gocar.be/en/cars/peugeot/2008/e-2008-allure-pack-50kwh/id/4898908,117,peugeot,2008,12,2021.0,2008,electric,2008,4,7.0,10.0,8,1.0299607147828647,4.0,6390.6,10.372052647587516,8.762739907265233,0,0,1,25562.4,4.119842859131459
41,22995,35006.0,automatic,Euro 6d-TEMP,electric,https://gocar.be/en/cars/peugeot/2008/allure-50-kwh-allure-50-kwh-at-gps-camera-pdc-cruiseacc-halfleder-alu-17/id/4897830,117,peugeot,2008,0,2023.0,2008,electric,2008,4,7.0,10.0,8,1.0299607147828647,2.0,11668.666666666666,10.463303320474218,9.364748161605025,0,0,1,23337.333333333332,4.119842859131459
42,28300,20.0,automatic,Euro 6,petrol,https://gocar.be/en/cars/peugeot/2008/hybrid-145-e-dcs6-allure/id/4897807,112,peugeot,2008,24,2025.0,2008,petrol,2008,4,5.0,7.0,8,1.0299607147828647,0.0,20.0,3.044522437723423,3.044522437723423,0,0,0,0.0,4.119842859131459
43,22950,31577.0,automatic,Euro 6,petrol,https://gocar.be/en/cars/peugeot/408/12t-allure-automaat/id/4897258,136,peugeot,408,12,2023.0,408,petrol,408,4,5.0,7.0,8,1.0450900661991476,2.0,10525.666666666666,10.360215954581834,9.261666999141523,0,0,0,21051.333333333332,4.18036026479659
44,23998,52075.0,automatic,Euro 6,petrol,https://gocar.be/en/cars/peugeot/408/12-puretech-130cv-eat8-gt-navi-camera-full-led/id/4898068,136,peugeot,408,12,2024.0,408,petrol,408,4,5.0,7.0,8,1.0450900661991476,1.0,26037.5,10.860459469017288,10.167331490976714,0,0,0,26037.5,4.18036026479659
47,23650,30771.0,automatic,Euro 6,petrol,https://gocar.be/en/cars/peugeot/2008/12i-gt-eat8-full-option/id/4897583,1,peugeot,2008,24,2024.0,2008,petrol,2008,4,5.0,7.0,8,1.0299607147828647,1.0,15385.5,10.334360464578825,9.641245780566125,0,0,0,15385.5,4.119842859131459
48,28590,14140.0,automatic,Euro 6,petrol,https://gocar.be/en/cars/peugeot/408/12-puretech-allure-130-automaat-navigatie-carplayandroid-auto-climate-control-adaptive-cruise-control-virtual-cockpit-pdc-va-360-camera-full-led-lm-velgen/id/4897441,136,peugeot,408,0,2024.0,408,petrol,408,4,5.0,7.0,8,1.0450900661991476,1.0,7070.0,9.556833658307777,8.863757191604241,0,0,0,7070.0,4.18036026479659
50,23750,27574.0,automatic,Euro 6,petrol,https://gocar.be/en/cars/peugeot/2008/12i-eat8-gt-full-option/id/4897618,1,peugeot,2008,24,2024.0,2008,petrol,2008,4,5.0,7.0,8,1.0299607147828647,1.0,13787.0,10.224664844121703,9.531553927636756,0,0,0,13787.0,4.119842859131459
57,18499,34937.0,automatic,Euro 6d,petrol,https://gocar.be/en/cars/peugeot/2008/12-puretech-allure/id/4896339,139,peugeot,2008,12,2020.0,2008,petrol,2008,4,8.0,7.0,8,1.0299607147828647,5.0,5822.833333333333,10.461330341065175,8.669713972250925,0,0,1,29114.166666666664,4.119842859131459
61,21990,94698.0,automatic,Euro 6d,petrol,https://gocar.be/en/cars/peugeot/2008/12-puretech-130pk-automaat-allure-navigatie-climate-control-led-lichtmetalen-velgen-parkeer-sensoren-cruise-control/id/4895615,133,peugeot,2008,0,2023.0,2008,petrol,2008,4,8.0,7.0,8,1.0299607147828647,2.0,31566.0,11.458458719456326,10.359867550112398,0,0,1,63132.0,4.119842859131459
62,19299,46101.0,automatic,Euro 6,electric,https://gocar.be/en/cars/peugeot/2008/e-2008-electric-drive-57-kw-e-active/id/4895696,117,peugeot,2008,12,2021.0,2008,electric,2008,4,5.0,10.0,8,1.0299607147828647,4.0,9220.2,10.738611611991622,9.12926045992544,0,0,0,36880.8,4.119842859131459
63,19998,68533.0,automatic,Euro 6,petrol,https://gocar.be/en/cars/peugeot/408/408-allure-auto-full-led/id/4895186,136,peugeot,408,12,2023.0,408,petrol,408,4,5.0,7.0,8,1.0450900661991476,2.0,22844.333333333332,11.135085251474184,10.03650214497577,0,0,0,45688.666666666664,4.18036026479659
64,24450,39689.0,automatic,Euro 6,petrol,https://gocar.be/en/cars/peugeot/408/12-puretech-130-ss-eat8-gt/id/4895253,136,peugeot,408,12,2022.0,408,petrol,408,4,5.0,7.0,8,1.0450900661991476,3.0,9922.25,10.58885454577711,9.20263576759063,0,0,0,29766.75,4.18036026479659
65,21599,20422.0,automatic,Euro 6,petrol,https://gocar.be/en/cars/peugeot/2008/12t-allure-automaat/id/4895389,137,peugeot,2008,12,2024.0,2008,petrol,2008,4,5.0,7.0,8,1.0299607147828647,1.0,10211.0,9.924416995717158,9.231318778361375,0,0,0,10211.0,4.119842859131459
66,21899,31307.0,automatic,Euro 6,petrol,https://gocar.be/en/cars/peugeot/2008/12t-gt-automaat/id/4895383,137,peugeot,2008,12,2024.0,2008,petrol,2008,4,5.0,7.0,8,1.0299607147828647,1.0,15653.5,10.35162893492473,9.658513694572717,0,0,0,15653.5,4.119842859131459
69,27490,34776.0,automatic,Euro 6,petrol,https://gocar.be/en/cars/peugeot/408/gt-12-benzine-130-eat-8/id/4894203,136,peugeot,408,12,2023.0,408,petrol,408,4,5.0,7.0,8,1.0450900661991476,2.0,11592.0,10.456711527718735,9.358156746670401,0,0,0,23184.0,4.18036026479659
74,25690,7821.0,automatic,Euro 6,petrol,https://gocar.be/en/cars/peugeot/2008/12-puretech-130p-automaat-allure-pack-climate-control-cruise-control-parkeersensoren-led-navigatie-apple-carplay-android-auto/id/4891977,137,peugeot,2008,0,2024.0,2008,petrol,2008,4,5.0,7.0,8,1.0299607147828647,1.0,3910.5,8.96469555531546,8.271676211125135,0,0,0,3910.5,4.119842859131459
